id,fips5,totalpop,countbelow200pct,State,Housingperpov200,Businessperemp,ImpactFinanceperpov200,CommDevOtherperpov200,z_Housing,z_ImpactFinance,z_CommDevOther,z_Business,z_GlobalCapacity,popsize_bin,Housing_ptile,Housing_rank,Business_ptile,Business_rank,ImpactFinance_ptile,ImpactFinance_rank,CommDevOther_ptile,CommDevOther_rank,GlobalCapacity_ptile,GlobalCapacity_rank,CoreLogic_200pov,CountyName
45,5035,49765,24287,AR,183.2402039,NA,35.91184616,166.7285461,1.063444495,-0.3467682,1.427760243,NA,NA,1,94,25,NA,NA,59,164,90,41,NA,NA,35.91184616,Crittenden
46,5045,119343,40410,AR,63.99024963,10857.16309,317.3048096,117.2376556,-0.103231311,-0.032700811,0.797435403,0.519788325,0.295322895,3,54,143,70,95,74,81,93,22,81,62,23276.29297,Faulkner
47,5051,96954,40855,AR,48.52245712,8994.788086,3437.502197,20.53487015,-0.254559666,3.449803829,-0.434188664,-0.112682715,0.662093222,2,60,81,58,84,99,2,42,115,95,10,23366.76953,Garland
48,5053,18054,6334,AR,0,NA,517.2832031,59.20429611,-0.729276597,0.190498427,0.058312099,NA,NA,1,1,274,NA,NA,91,39,75,100,NA,NA,3116.28418,Grant
49,5069,73548,32225,AR,63.49400711,5249.782715,42.04875183,22.24085045,-0.108086273,-0.339918703,-0.412460983,-1.384503603,-0.561242402,2,67,66,15,170,43,114,43,113,13,173,42.04875183,Jefferson
50,5079,14062,4922,AR,0,NA,0,81.35875702,-0.729276597,-0.386850029,0.340475291,NA,NA,1,1,274,NA,NA,1,333.5,81,76,NA,NA,NA,Lincoln
51,5081,12720,5773,AR,0,NA,0,47.86460876,-0.729276597,-0.386850029,-0.086112201,NA,NA,1,1,274,NA,NA,1,333.5,72,112,NA,NA,NA,Little River
52,5085,70691,21962,AR,104.7718811,8526.871094,269.1266174,27.33513832,0.295753688,-0.086473294,-0.347579211,-0.271589458,-0.102472067,2,76,48,51,98,74,53,48,104,61,78,20600.7168,Lonoke
53,5087,15702,7610,AR,0,NA,158.0946198,0,-0.729276597,-0.210397974,-0.695724487,NA,NA,1,1,274,NA,NA,78,89,1,285.5,NA,NA,22091.59766,Madison
54,5091,43652,18357,AR,201.2240601,NA,363.2219238,111.2597961,1.239388585,0.018548049,0.721300304,NA,NA,1,95,21,NA,NA,87,54,86,59,NA,NA,17487.54492,Miller
55,5105,10300,4282,AR,0,NA,0,122.3052979,-0.729276597,-0.386850029,0.861977816,NA,NA,1,1,274,NA,NA,1,333.5,87,53,NA,NA,NA,Perry
56,5111,24210,12900,AR,0,NA,7751.001465,74.40457153,-0.729276597,8.264172554,0.251905531,NA,NA,1,1,274,NA,NA,100,2,80,82,NA,NA,7751.001465,Poinsett
57,5119,390463,147073,AR,133.7139587,11510.47852,1214.220947,30.50158119,0.578907013,0.968362331,-0.307250828,0.741657197,0.495418936,4,72,36,75,33,95,7,19,104,85,20,36559.84766,Pulaski
58,5125,113833,30873,AR,17.9720459,8251.469727,653.1574097,72.91314697,-0.553448021,0.342149913,0.232910484,-0.365117013,-0.085876159,3,24,237,37,196,88,38,82,58,49,161,23074.05469,Saline
59,5131,127273,57624,AR,56.91628647,12953.94434,33.6517601,41.42724991,-0.172439069,-0.349290729,-0.168099552,1.23186481,0.135508865,3,50,158,89,36,21,245,59,129,70,95,25193.92969,Sebastian
60,5143,216432,89449,AR,18.17312622,14391.68164,395.3457336,78.76353455,-0.55148077,0.054401971,0.307422072,1.720126867,0.382617533,3,25,235,95,17,79,68,84,52,84,50,41722.44531,Washington
61,6001,1584983,427064,CA,214.3018036,9573.414063,1075.98584,164.7304688,1.367334008,0.814075768,1.402312398,0.083821304,0.916885853,5,86,20,51,67,88,17,87,18,89,16,41362.53906,Alameda
62,6007,222564,95781,CA,171.453125,6526.682129,38.56671524,77.86308289,0.948126197,-0.343805075,0.295953751,-0.950862706,-0.012646958,3,88,39,15,264,24,236,83,54,57,135,16305.51953,Butte
63,6013,1096068,272420,CA,106.7423096,9329.43457,447.8660583,64.60954285,0.31503126,0.113020785,0.127154291,0.000964755,0.13904278,5,50,69,49,70,60,55,50,69,39,83,38249.77344,Contra Costa
64,6017,182093,45314,CA,254.2861481,7397.329102,98.81562805,23.1894207,1.758518815,-0.276560247,-0.400379837,-0.65518707,0.106597915,3,96,14,24,237,43,179,40,189,68,101,24030.62891,El Dorado
65,6019,956749,476643,CA,81.25624847,5836.825195,226.6708527,59.49462509,0.065689698,-0.133858889,0.062009782,-1.185141325,-0.297825187,5,38,85,3,132,28,99,42,79,7,126,14611.11328,Fresno
66,6025,178206,86807,CA,161.8576202,3733.755859,364.4555969,84.39092255,0.85424906,0.019924972,0.379093498,-1.899353147,-0.161521405,3,87,43,2,306,77,72,86,44,40,187,10722.12109,Imperial
67,6029,865736,401734,CA,110.977211,6641.043457,115.5583649,50.83272171,0.356463194,-0.257873386,-0.048309777,-0.912025094,-0.215436265,5,53,65,6,128,9,125,33,92,11,121,12918.05859,Kern
68,6031,150998,65284,CA,201.8114319,4146.64209,226.9904022,42.74146271,1.245135069,-0.13350223,-0.15136151,-1.759135127,-0.199715942,3,92,25,3,303,65,109,61,122,36,199,20510.45508,Kings
69,6037,10038388,4002973,CA,168.4981232,8259.292969,745.4133301,112.6697083,0.919216096,0.445118278,0.739257216,-0.362460196,0.435282856,5,76,33,30,95,81,27,73,38,65,48,35630.40625,Los Angeles
70,6039,153187,73199,CA,115.6991882,5057.080566,75.75013733,66.26300812,0.402660429,-0.302304029,0.148213118,-1.449946046,-0.300344139,3,74,83,7,289,37,197,80,65,23,240,21304.23047,Madera
71,6041,258349,49168,CA,331.122406,11322.18652,178.1999054,91.37373352,2.510242462,-0.187958121,0.46802783,0.677712381,0.867006123,4,97,4,72,36,34,85,76,32,93,9,85144.78906,Marin
72,6047,263885,140960,CA,51.27507401,5344.487305,84.18810272,17.29369545,-0.227629572,-0.292886257,-0.475468844,-1.352341413,-0.587081552,4,38,80,3,125,16,108,4,123,2,126,16614.22656,Merced
73,6053,428441,173008,CA,127.9391022,4524.594727,264.5638733,76.00613403,0.522409022,-0.091565855,0.272303313,-1.630780697,-0.23190856,4,71,38,1,128,51,63,69,40,20,103,21980.74414,Monterey
74,6055,140295,38524,CA,126.4178925,10277.0918,230.9407196,37.17495346,0.507526338,-0.129093215,-0.222257569,0.322793454,0.119742252,3,77,72,62,118,66,107,54,145,69,99,99033.10156,Napa
75,6059,3116069,915376,CA,82.67536926,10529.07031,492.5706787,77.83185577,0.079573594,0.162916362,0.295556039,0.408366501,0.236603126,5,40,82,67,45,64,49,59,56,50,68,40880.00781,Orange
76,6061,366280,79523,CA,203.5103149,8850.558594,500.7353821,21.7834549,1.261756063,0.172029123,-0.418286473,-0.161663711,0.213458747,4,90,13,41,76,78,29,8,118,62,49,47465.37891,Placer
77,6065,2298032,876810,CA,59.17919922,6774.40918,357.7902222,72.14814758,-0.150299981,0.012485636,0.223167315,-0.866733491,-0.195345134,5,24,104,8,125,51,67,54,63,13,118,20598.34766,Riverside
78,6067,1465832,544750,CA,163.2709351,7216.143555,124.7784271,62.1733551,0.868076146,-0.247582734,0.096126571,-0.716718495,-2.46E-05,5,73,38,10,122,14,117,46,74,26,100,24377.04883,Sacramento
79,6069,57557,17744,CA,317.1448364,4684.851074,384.3049622,26.313797,2.373493433,0.04207918,-0.360587209,-1.576356888,0.119657129,2,95,11,9,181,83,35,47,105,75,50,20126.48047,San Benito
80,6071,2094769,870781,CA,62.1308403,7029.158691,313.3419189,63.20389938,-0.121422745,-0.037123859,0.109251767,-0.780219376,-0.207378551,5,28,98,9,124,45,76,48,71,12,120,20131.99219,San Bernardino
81,6073,3223096,1029266,CA,138.5194397,8924.673828,485.5971985,112.6555328,0.62592119,0.155133143,0.739076674,-0.136493832,0.345909297,5,64,50,42,79,64,50,72,39,58,57,35871.30469,San Diego
82,6075,840763,226520,CA,654.1282349,8051.983398,2223.554443,377.8446655,5.670353413,2.094896317,4.116573334,-0.432863474,2.862239838,5,99,2,23,105,99,2,99,2,99,2,100185.8906,San Francisco
83,6077,708554,289574,CA,118.0750732,8427.393555,116.5972519,57.03741837,0.425904781,-0.256713867,0.030714354,-0.305372477,-0.026366802,5,57,59,36,87,11,122,39,84,23,105,18248.50391,San Joaquin
84,6079,276517,83083,CA,108.7522736,5621.26709,1141.737183,65.09315491,0.334695637,0.88746196,0.133313656,-1.258345842,0.024281353,4,65,46,8,119,94,8,61,51,45,71,42921.61328,San Luis Obispo
85,6081,748731,154878,CA,154.2867279,9662.145508,399.0150146,107.9967957,0.78017962,0.058497317,0.679742157,0.113954902,0.408093512,5,70,42,54,63,55,62,70,42,63,50,67386.19531,San Mateo
86,6083,435850,156752,CA,227.0028687,4956.023926,284.4303894,118.166626,1.491594195,-0.069392502,0.809266925,-1.484265447,0.186800793,4,93,9,2,126,53,61,86,18,58,55,30853.70703,Santa Barbara
87,6085,1868149,417423,CA,167.7433472,8682.404297,724.7394409,107.1800003,0.911831796,0.4220438,0.669339299,-0.21876967,0.446111321,5,75,35,38,85,78,31,69,43,66,46,64682.63672,Santa Clara
88,6087,269278,82890,CA,171.6929474,5910.484375,620.7016602,28.71979713,0.950472474,0.305925488,-0.329943955,-1.160126328,-0.05841808,4,85,20,11,115,84,21,16,108,35,84,23077.27344,Santa Cruz
89,6089,178942,71729,CA,158.2448883,5083.421875,607.244812,55.50077057,0.818904102,0.290906072,0.011143331,-1.441000462,-0.08001174,3,86,44,8,288,87,42,71,92,49,159,19558.0918,Shasta
90,6095,425753,122546,CA,67.88508606,6882.059082,197.2519379,79.67372894,-0.065126382,-0.166693836,0.31901449,-0.830175102,-0.185745209,4,47,68,18,106,40,78,72,36,22,100,27048.59961,Solano
91,6097,495078,142689,CA,166.6023865,8029.555176,203.0145874,40.98820877,0.900669217,-0.160262048,-0.173691258,-0.440480202,0.031558927,4,84,21,30,90,42,75,33,86,46,70,48998.48047,Sonoma
92,6099,527367,229469,CA,59.31796265,7093.686035,118.9117203,48.0058136,-0.148942396,-0.254130661,-0.084313788,-0.758305609,-0.311423123,5,25,103,9,123,12,120,32,93,6,128,15468.48047,Stanislaus
93,6101,95247,40956,CA,30.46977234,7292.30957,18.53786087,38.71060562,-0.431177169,-0.366159618,-0.202699229,-0.690852165,-0.422722042,2,51,99,37,126,27,146,57,87,24,151,20877.77539,Sutter
94,6107,454033,248170,CA,144.3741608,5433.63916,133.1823883,46.53033447,0.683200538,-0.238202929,-0.103105754,-1.322065115,-0.245043308,4,77,30,5,122,24,98,42,75,19,104,14489.68555,Tulare
95,6111,840833,234022,CA,111.2664413,7770.143066,440.8547668,98.27156067,0.359292865,0.105195366,0.555879831,-0.528577745,0.122947581,5,53,64,16,114,59,56,66,47,36,87,31889.17188,Ventura
96,6113,207320,78924,CA,210.1324921,7938.643066,222.0449219,67.44485474,1.326543808,-0.139021963,0.163265333,-0.471354365,0.219858199,3,93,24,33,210,64,114,80,64,74,81,30706.20508,Yolo
97,6115,73437,33225,CA,67.39836121,4800.618652,231.4307709,4.070652485,-0.069888227,-0.128546268,-0.64387989,-1.537041783,-0.594839036,2,68,65,10,180,72,57,28,143,11,177,15782.74707,Yuba
98,8001,471206,160625,CO,39.25605392,11369.95117,216.9731293,53.93865204,-0.345217049,-0.144682676,-0.008752091,0.693933487,0.048820417,4,26,95,73,35,45,71,47,68,47,69,31001.90625,Adams
99,8005,608310,165225,CO,57.15753174,12050.13379,118.6763153,82.18830872,-0.170078859,-0.254393399,0.351040602,0.924926579,0.212873727,5,20,109,86,19,12,121,62,53,46,73,46853.45703,Arapahoe
100,8013,310032,80815,CO,146.8462982,11018.6875,533.8994751,43.4309845,0.707386553,0.209044129,-0.14257963,0.574642718,0.337123454,4,78,29,67,43,79,28,34,85,74,34,53168.59766,Boulder
101,8014,60699,9643,CO,0,10741.95703,41.64697647,13.30195904,-0.729276597,-0.340367138,-0.526308298,0.480663806,-0.278822064,2,1,172,77,46,42,115,35,129,44,111,87647.21094,Broomfield
102,8019,9136,1639,CO,0,NA,214.4996948,12.20256233,-0.729276597,-0.147443324,-0.540310442,NA,NA,1,1,274,NA,NA,82,72,62,153,NA,NA,38584.82813,Clear Creek
103,8031,649654,232901,CO,269.647644,11894.43652,982.5751343,203.1068726,1.908807158,0.709818542,1.891081214,0.87205106,1.345439434,5,92,11,84,22,87,19,92,11,95,8,52115.63672,Denver
104,8035,306974,31589,CO,0,11729.07227,332.5212402,31.82675552,-0.729276597,-0.015717497,-0.290373176,0.815892637,-0.054868657,4,1,127,80,26,60,52,23,99,36,83,112035.7734,Douglas
105,8039,23855,4569,CO,0,NA,192.9814606,0,-0.729276597,-0.171460181,-0.695724487,NA,NA,1,1,274,NA,NA,81,78,1,285.5,NA,NA,22599.54297,Elbert
106,8041,655024,185133,CO,32.16553497,6565.771973,113.3714981,40.19262695,-0.414586753,-0.260314196,-0.183823943,-0.937587619,-0.449078143,5,7,127,5,129,8,126,26,102,1,134,55995.99219,El Paso
107,8047,5605,1159,CO,0,NA,0,0,-0.729276597,-0.386850029,-0.695724487,NA,NA,1,1,274,NA,NA,1,333.5,1,285.5,NA,NA,146013.1406,Gilpin
108,8059,552344,113276,CO,146.7919464,10103.68945,206.061142,41.14017105,0.70685482,-0.156861737,-0.17175585,0.263905227,0.160535619,5,68,44,61,53,25,103,26,101,42,79,34891.87891,Jefferson
109,8069,318227,90945,CO,176.5244598,9532.571289,443.2613831,33.81263733,0.997741342,0.107881427,-0.265080631,0.069950908,0.227623254,4,86,19,50,65,72,37,26,96,65,46,39866.44531,Larimer
110,8077,147834,49377,CO,29.0842495,11365.64258,21.25708389,33.93240738,-0.444732368,-0.363124639,-0.263555229,0.692470253,-0.094735496,3,33,210,76,77,14,267,50,157,48,164,30450.55664,Mesa
111,8093,16189,4152,CO,0,NA,53.63845825,0,-0.729276597,-0.326983243,-0.695724487,NA,NA,1,1,274,NA,NA,62,152,1,285.5,NA,NA,32916.80469,Park
112,8101,161519,67139,CO,75.83984375,5734.374512,18.29426765,83.86104584,0.012698583,-0.366431475,0.372344911,-1.219933987,-0.30033049,3,59,129,10,280,12,274,86,46,23,239,15374.59277,Pueblo
113,8119,23340,5386,CO,0,NA,71.88132477,0,-0.729276597,-0.306622058,-0.695724487,NA,NA,1,1,274,NA,NA,68,130,1,285.5,NA,NA,35747.58203,Teller
114,8123,270948,85166,CO,37.83538055,10161.99609,118.0668488,45.90454102,-0.359116137,-0.255073637,-0.111075975,0.283706427,-0.110389829,4,25,97,58,55,22,101,40,77,28,93,49475.45703,Weld
115,9001,939983,199128,CT,301.9998779,8779.269531,503.1095886,140.3848877,2.225323677,0.174679011,1.092242718,-0.185873792,0.826592922,5,94,9,40,82,66,47,80,28,85,21,29912.26953,Fairfield
116,9003,896943,221216,CT,136.5857849,8864.688477,245.8976593,178.6478424,0.607003391,-0.112399526,1.579566598,-0.156865135,0.479326338,5,63,51,41,81,33,92,91,13,70,41,30998.2793,Hartford
117,9007,165165,27625,CT,0,8672.289063,280.2982788,194.1513672,-0.729276597,-0.074004419,1.777022243,-0.222204849,0.187884092,3,1,291,41,183,71,92,99,6,73,85,45659.74609,Middlesex
118,9009,862224,225761,CT,99.76943207,8232.700195,268.9543457,146.1925812,0.246812478,-0.086665571,1.166210532,-0.371491224,0.238716558,5,47,73,29,97,36,88,81,26,51,67,22970.02344,New Haven
119,9011,273185,60835,CT,152.0071106,5834.19873,52.81988907,180.4632263,0.757877111,-0.327896863,1.602687597,-1.186033249,0.211658657,4,79,27,9,117,10,116,96,6,61,51,21156.99219,New London
120,9013,151948,23221,CT,374.3597107,6245.256348,4.306446552,158.3695679,2.933252335,-0.382043511,1.321298838,-1.046436191,0.706517875,3,99,4,13,272,5,295,97,11,94,21,27621.76367,Tolland
121,9015,117470,30722,CT,185.5832367,4002.703125,22.84668922,262.1824951,1.086367369,-0.361350447,2.64347887,-1.808017492,0.390119582,3,90,32,2,304,15,265,100,3,85,49,24281.75781,Windham
122,10001,169509,54349,DE,0,7364.401855,556.1656494,6.007126331,-0.729276597,0.233895779,-0.619216621,-0.666369319,-0.44524169,3,1,291,23,239,85,49,18,255,10,280,57223.33203,Kent
123,10003,549643,136044,DE,127.3316956,10388.09961,533.99646,38.84473419,0.516466439,0.209152371,-0.200990945,0.360492229,0.221280023,5,61,54,65,48,70,42,23,105,48,71,46368.64844,New Castle
124,10005,207302,65383,DE,79.29382324,7616.34668,277.1839905,4.89056778,0.046490412,-0.077480331,-0.633437335,-0.580807686,-0.311308742,3,61,122,27,228,71,93,15,264,22,244,18661.22656,Sussex
125,11001,647484,194244,DC,319.7718201,7801.644531,4554.100098,509.8804321,2.399194479,4.69605732,5.798204422,-0.517879665,3.093894243,5,95,7,17,113,100,1,100,1,100,1,111553.7969,District of Columbia
126,12001,254218,99771,FL,45.71186066,5495.516602,145.9483948,26.70059013,-0.282056987,-0.223954573,-0.355660945,-1.301051259,-0.540680945,4,35,84,6,121,26,96,13,112,4,124,21179.74609,Alachua
127,12003,27135,9193,FL,0,NA,0,0,-0.729276597,-0.386850029,-0.695724487,NA,NA,1,1,274,NA,NA,1,333.5,1,285.5,NA,NA,14472.9043,Baker
128,12005,175353,63190,FL,153.04599,8019.873047,105.2573471,70.75048828,0.768040955,-0.269370526,0.205366477,-0.443768293,0.065067157,3,85,47,34,205,46,169,81,61,62,118,21930.42578,Bay
129,12009,553591,183824,FL,57.82671738,6682.657715,256.7570801,37.94434357,-0.163531914,-0.100279145,-0.212458476,-0.897892714,-0.343540549,5,22,107,6,127,34,90,21,108,3,131,13273.54102,Brevard
130,12011,1843152,649497,FL,70.0189743,8102.709961,273.5065918,55.88597107,-0.044249594,-0.081584737,0.016049314,-0.41563651,-0.131355375,5,31,94,25,102,37,86,37,86,19,110,24389.29688,Broward
131,12015,165783,55327,FL,148.6796417,5010.330566,62.25658417,5.064311028,0.725323021,-0.317364395,-0.631224513,-1.465822577,-0.422272116,3,84,52,7,291,32,212,16,261,11,277,14931.20117,Charlotte
132,12017,139654,55120,FL,0,6431.837402,19.3396225,6.972448826,-0.729276597,-0.365264744,-0.60692209,-0.9830724,-0.671133935,3,1,291,14,267,13,270,20,249,2,305,9947.918945,Citrus
133,12019,197417,55266,FL,0,7052.376465,225.2532806,0,-0.729276597,-0.135441065,-0.695724487,-0.772334516,-0.583194137,3,1,291,20,249,65,110,1,293.5,4,298,21820.15234,Clay
